domain,url,start,end
github.com,https://github.com/red-gecko27,1777691687.213402271,1777691693.561091661
yahoo.com,https://www.yahoo.com/news/russia-says-scrambled-fighter-jets-122501092.html,1777691698.561297178,1777691705.089937449
github.com,https://github.com/Terryohana,1777691710.090237141,1777691716.220488310
yahoo.com,https://www.yahoo.com/lifestyle/may-replace-wooden-spoon-sooner-130035759.html,1777691721.220670223,1777691727.256732702
google.com,https://www.google.com/finance/quote/003040:SHE,1777691732.256953001,1777691738.450492382
google.com,https://www.google.com/finance/quote/KIM:NYSE,1777691743.450664043,1777691749.912121773
google.com,https://www.google.com/finance/quote/PQE:CVE,1777691754.912323236,1777691760.569147587
google.com,https://www.google.com/finance/quote/SWYDF:OTCMKTS,1777691765.569311142,1777691771.812929630
google.com,https://www.google.com/finance/quote/PX1GR:INDEXEURO,1777691776.813128948,1777691783.172530651
geeksforgeeks.org,https://www.geeksforgeeks.org/css/semantic-ui-forms/,1777691788.172741175,1777691795.448569775
google.com,https://www.google.com/finance/quote/SXPL:INDEXSTOXX,1777691800.448793411,1777691806.535111904
yahoo.com,https://www.yahoo.com/news/berks-commissioners-learn-6-3-104600147.html,1777691811.535282850,1777691817.418771029
yahoo.com,https://www.yahoo.com/news/zelenskiy-says-kyiv-security-guarantees-222324795.html,1777691822.418967724,1777691828.643104792
geeksforgeeks.org,https://www.geeksforgeeks.org/git/aliases-in-git/,1777691833.643244267,1777691840.986571074
yahoo.com,https://www.yahoo.com/news/oklahoma-capitol-protest-over-anti-223257315.html,1777691845.986776352,1777691852.175593138
geeksforgeeks.org,https://www.geeksforgeeks.org/linux-unix/how-to-install-popcorn-time-on-ubuntu-mint-kali-linux/,1777691857.175843000,1777691865.521511793
geeksforgeeks.org,https://www.geeksforgeeks.org/machine-learning/difference-between-machine-learning-and-predictive-modelling/,1777691870.521708727,1777691877.465832472
google.com,https://www.google.com/finance/quote/TA:NASDAQ,1777691882.466018915,1777691888.756178856
yahoo.com,https://www.yahoo.com/news/champaign-activates-sidewalk-snow-removal-200627261.html,1777691893.756473541,1777691899.866654396
github.com,https://github.com/why-github,1777691904.866823196,1777691912.620360374
github.com,https://github.com/orgs/community/discussions/181437,1777691917.620547295,1777691925.608077526
geeksforgeeks.org,https://www.geeksforgeeks.org/computer-networks/difference-between-wasabi-and-pcloud/,1777691930.608329058,1777691937.558994770
google.com,https://www.google.com/intl/pt-PT/nonprofits/resources/coronavirus/,1777691942.559221029,1777691948.833105803
google.com,https://www.google.com/finance/quote/0608:HKG,1777691953.833434820,1777691959.845536470
geeksforgeeks.org,https://www.geeksforgeeks.org/linux-unix/traxss-automated-xss-vulnerability-scanner/,1777691964.845705986,1777691972.248904705
google.com,https://www.google.com/finance/quote/ASPZ:OTCMKTS,1777691977.249109507,1777691983.205958128
google.com,https://www.google.com/finance/quote/PHO:NASDAQ,1777691988.206163406,1777691994.251447201
google.com,https://www.google.com/finance/quote/VOXX:NASDAQ,1777691999.251611471,1777692005.283436775
yahoo.com,https://www.yahoo.com/entertainment/celebrity/articles/love-blind-jordan-breaks-down-192727136.html,1777692010.283635378,1777692024.411312103
github.com,https://github.com/orgs/community/discussions/192520,1777692029.411481380,1777692035.530322313
github.com,https://github.com/trending/beef,1777692040.530553102,1777692046.442833424
geeksforgeeks.org,https://www.geeksforgeeks.org/css/spectre-form-disabled-styles/,1777692051.443032503,1777692058.783609867
github.com,https://github.com/vibhu-dixit-dev,1777692063.783809900,1777692070.309378386
github.com,https://github.com/dentunc/crud-api-go,1777692075.309585094,1777692081.021164656
yahoo.com,https://www.yahoo.com/tech/oracle-updates-database-technology-ai-145140929.html,1777692086.021288157,1777692211.087511301
google.com,https://www.google.com/finance/quote/DUK-A:NYSE,1777692216.087700367,1777692330.413300991
google.com,https://www.google.com/finance/quote/300147:SHE,1777692335.413514137,1777692341.432941914
